     5240.4279 7.778450E-01   6469.4338   6  33.0  32.0  0  25546.5346   7  34.0  33.0  0 2.035902E+07 'TiO X C  R1   '
     5240.4279 1.998000E-04  20935.4841   5 176.0 177.0  0  40012.5849   9 175.0 175.0  0 1.256209E+07 'TiO X C OP23  '
     5240.4286 2.728164E-09  20618.9961   0 198.0 199.0  0  39696.0942   9 199.0 199.0  0 4.518079E+06 'TiO X A QR23  '
     5240.4304 1.348699E-04   7017.9763   3  86.0  86.0  0  26095.0682  10  87.0  87.0  0 9.233355E+06 'TiO X A  R2   '
     5240.4317 4.183657E-07   4901.2967   3  60.0  59.0  1  23978.3835  12  61.0  60.0 -1 1.337736E+05 'TiO X E  R1   '
     5240.4344 1.290762E-06   7827.3784   7  41.0  41.0  0  26904.4554  15  40.0  39.0  0 8.700093E+06 'TiO X A OP12  '
     5240.4350 1.071201E-04  22649.1969   3 195.0 196.0  1  41726.2716  10 195.0 194.0 -1 6.855288E+07 'TiO X B OQ13  '
     5240.4352 7.478405E-03  19497.2395   3 180.0 179.0  1  38574.3138   9 179.0 179.0 -1 4.946606E+07 'TiO X B QP21  '
     5240.4353 2.154044E-01  10705.1427   2 129.0 128.0  0  29782.2164   3 130.0 129.0  0 1.647294E+07 'TiO X C  R1   '
     5240.4355 2.307646E-01  14386.4987  11  24.0  24.0  0  33463.5717  14  23.0  23.0  0 2.277132E+07 'TiO a c  P    '
     5240.4366 2.436814E-01  18193.4345   4 166.0 166.0 -1  37270.5038  10 166.0 166.0  1 4.666227E+07 'TiO X B  Q2   '
     5240.4372 3.869124E+00   3795.5080   0  25.0  25.0  0  22872.5748   0  26.0  26.0  0 2.649502E+07 'TiO a f  R    '
     5240.4373 1.466603E-01  19198.7995   8 150.0 150.0 -1  38275.8662  15 149.0 149.0  1 1.061189E+07 'TiO X B  P2   '
     5240.4381 1.562802E+00  17963.3357  10  97.0  97.0  0  37040.3994  13  98.0  98.0  0 2.701801E+07 'TiO a c  R    '
     5240.4387 1.940640E-04  20911.6995   5 177.0 177.0  0  39988.7607   9 176.0 175.0  0 1.251911E+07 'TiO X C OP12  '
     5240.4401 5.576340E-02   3229.6101   3  21.0  20.0  1  22306.6665   7  21.0  20.0 -1 1.629546E+07 'TiO X B  Q1   '
     5240.4420 1.641752E-03  17723.1794   7 147.0 146.0 -1  36800.2287  13 147.0 148.0  1 1.206578E+07 'TiO X B SQ31  '
     5240.4438 6.979060E-04  12176.9549   4 126.0 125.0  1  31253.9978   9 125.0 126.0 -1 2.592378E+07 'TiO X B RP31  '
     5240.4446 5.032522E-06  22524.3480   4 192.0 191.0  0  41601.3880  14 191.0 191.0  0 5.899882E+06 'TiO X A QP21  '
     5240.4460 8.913331E-03  23600.4983   5 191.0 192.0 -1  42677.5330  12 192.0 192.0  1 1.659351E+07 'TiO X B QR23  '
